species,bill_length_mm,bill_depth_mm,body_mass_g
Adelie,39.0,18.7,3650.0
Adelie,37.7,16.0,3075.0
Adelie,33.5,19.0,3600.0
Adelie,35.3,18.9,3800.0
Adelie,37.6,19.1,3750.0
Adelie,42.9,17.6,4700.0
Adelie,41.4,18.6,3700.0
Adelie,34.0,17.1,3400.0
Adelie,33.1,16.1,2900.0
Adelie,36.0,17.8,3450.0
Chinstrap,50.6,19.4,3800.0
Chinstrap,45.4,18.7,3525.0
Chinstrap,50.5,18.4,3400.0
Chinstrap,50.8,19.0,4100.0
Chinstrap,46.9,16.6,2700.0
Chinstrap,50.8,18.5,4450.0
Chinstrap,51.3,19.2,3650.0
Chinstrap,52.2,18.8,3450.0
Chinstrap,49.2,18.2,4400.0
Chinstrap,51.5,18.7,3250.0
Gentoo,47.5,14.2,4600.0
Gentoo,46.1,15.1,5100.0
Gentoo,50.0,15.3,5550.0
Gentoo,50.0,15.9,5350.0
Gentoo,43.3,13.4,4400.0
Gentoo,48.5,15.0,4850.0
Gentoo,49.4,15.8,4925.0
Gentoo,48.6,16.0,5800.0
Gentoo,47.5,14.0,4875.0
Gentoo,44.5,14.7,4850.0
