,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85175836371,10.1007/s40820-023-01221-3,,,Understanding Bridging Sites and Accelerating Quantum Efficiency for Photocatalytic CO<inf>2</inf> Reduction,ar,Article,Wang K.,60110590;60021182;60009506;60003138,Universidad ECOTEC;Sun Yat-Sen University;King Fahd University of Petroleum and Minerals;Universidad de Córdoba,Samborondon;Guangzhou;Dhahran;Cordoba,Ecuador;China;Saudi Arabia;Spain,11,"Wang, Kangwang;Hu, Zhuofeng;Yu, Peifeng;Balu, Alina M.;Li, Kuan;Li, Longfu;Zeng, Lingyong;Zhang, Chao;Luque, Rafael;Yan, Kai;Luo, Huixia",57217179138;55859110700;57226131094;22940159800;57454617900;58604868000;57218134989;57199502932;26643003700;35732459200;35272439700,60021182;60021182;60021182;60003138;60021182;60021182;60021182;60021182;60009506-60110590;60021182;60021182,2024-12-01,December 2024,Nano-Micro Letters,23116706,21100203115,21505551,Journal,16,1,5,,"We report a novel double-shelled nanoboxes photocatalyst architecture with tailored interfaces that accelerate quantum efficiency for photocatalytic CO2 reduction reaction (CO2RR) via Mo–S bridging bonds sites in Sv–In2S3@2H–MoTe2. The X-ray absorption near-edge structure shows that the formation of Sv–In2S3@2H–MoTe2 adjusts the coordination environment via interface engineering and forms Mo–S polarized sites at the interface. The interfacial dynamics and catalytic behavior are clearly revealed by ultrafast femtosecond transient absorption, time-resolved, and in situ diffuse reflectance–Infrared Fourier transform spectroscopy. A tunable electronic structure through steric interaction of Mo–S bridging bonds induces a 1.7-fold enhancement in Sv–In2S3@2H–MoTe2(5) photogenerated carrier concentration relative to pristine Sv–In2S3. Benefiting from lower carrier transport activation energy, an internal quantum efficiency of 94.01% at 380 nm was used for photocatalytic CO2RR. This study proposes a new strategy to design photocatalyst through bridging sites to adjust the selectivity of photocatalytic CO2RR.[Figure not available: see fulltext.].",Bridging sites | CO  reduction 2 | Electronic structure | Quantum efficiency | Steric interaction,6,1,repositoryvor,Green,NSFC,11922415,National Natural Science Foundation of China
1,2-s2.0-85188795658,10.1016/j.jphotochem.2024.115625,S1010603024001692,,Synthesis of Cu-doped TiO<inf>2</inf> modified BiVO<inf>4</inf> for photocatalytic oxidative desulfurization (PODS) of a model fuel,ar,Article,Jabbari P.,60110590;60028174;60003662;60003138;116418480,Universidad ECOTEC;Isfahan University of Technology;Universidad de Málaga;Universidad de Córdoba;National University of Science and Technology Polytehnica Bucharest,Samborondon;Isfahan;Malaga;Cordoba;Bucharest,Ecuador;Iran;Spain;Spain;Romania,5,"Jabbari, Pardis;Najafi Chermahini, Alireza;Luque, Rafael;Pineda, Antonio;Castellón, Enrique Rodríguez",58958574400;57208331757;26643003700;55412652100;57221853402,60028174;60028174;116418480-60110590;60003138;60003662,2024-07-01,1 July 2024,Journal of Photochemistry and Photobiology A: Chemistry,10106030,26966,,Journal,452,,115625,,"In the present study, a photocatalytic oxidation desulfurization method is used to eliminate dibenzothiophene as one of the aromatic sulfur derivatives in fuel, using a Cu-TiO2/BiVO4 composite. The structure of the synthesized compounds was characterized by FT-IR and Raman spectroscopy, XRD, DRS, UV–Vis, BET, TEM, FE-SEM, elemental mapping, EDS, XPS, and ICP-MS methods. To find the best results in this photocatalytic system, different parameters such as type of solvent, the amount of photocatalyst, reaction time, amount of oxidizing agent, reaction temperature, and the ratio of extracting solvent to n-heptane as the model fuel was investigated and optimized. Desulfurization tests were carried out including extraction-absorption test (without H2O2), in the absence of photocatalyst, and test in dark conditions followed by oxidation extraction test. The efficiency of this photocatalytic system for dibenzothiophene removal reached 93% under optimal reaction conditions for the model fuel. The photocatalyst was recycled three times and exhibited good efficiency in dibenzothiophene removal.",Bismuth vanadate | Cu-doped TiO 2 | Dibenzothiophene | Model fuel | Photocatalytic oxidative desulfurization,0,0,,,IUT,PID2021‐126235OB‐C32,Isfahan University of Technology
2,2-s2.0-85187783663,10.1016/j.scp.2024.101520,S2352554124000950,,Green chemistry in Italy and Spain (1999–2019): Research policy lessons,ar,Article,Ciriminna R.,60110590;60030318;60008737,"Universidad ECOTEC;Università degli Studi di Milano;Istituto Per Lo Studio Dei Materiali Nanostrutturati, Rome",Samborondon;Milan;Rome,Ecuador;Italy;Italy,5,"Ciriminna, Rosaria;Formenti, Matteo;Della Pina, Cristina;Luque, Rafael;Pagliaro, Mario",6602699062;57144707800;6507746404;26643003700;6603358623,60008737;60030318;60030318;60110590;60008737,2024-06-01,June 2024,Sustainable Chemistry and Pharmacy,,21100444313,23525541,Journal,39,,101520,,"The study of green chemistry uptake in Italy and in Spain in its first two decades (1999–2019) offers numerous research policy lessons to research policy makers and chemical industry managers based in other countries. Both academic communities showed immediate interest in the new approach to chemistry productions based on the concepts of pollution and accident prevention, hazard elimination, and design for degradation. Spain's academic community acted in an organized manner and was able to attract tens of students to its master and doctoral international programs. Revealing differences exist also in the industrial uptake of sustainable chemistry and in research achievements.",Benign by design | Green chemistry | Green chemistry in Italy | Sustainable chemistry,0,1,publisherhybridgold,Hybrid Gold,UniMi,PE00000004,Università degli Studi di Milano
3,2-s2.0-85183933285,10.1016/j.ccr.2024.215660,S0010854524000067,,Flexible–robust MOFs/HOFs for challenging gas separations,re,Review,Ebadi Amooghin A.,60110590;60018844;60011476;60005010;116418480,Universidad ECOTEC;Fujian Normal University;Universitat Politècnica de València;Arak University;National University of Science and Technology Polytehnica Bucharest,Samborondon;Fuzhou;Valencia;Arak;Bucharest,Ecuador;China;Spain;Iran;Romania,6,"Ebadi Amooghin, Abtin;Sanaeepur, Hamidreza;Ghomi, Matineh;Luque, Rafael;Garcia, Hermenegildo;Chen, Banglin",58479252600;36129742900;57194394938;26643003700;7202282304;7408607878,60005010;60005010;60005010;116418480-60110590;60011476;60018844,2024-04-15,15 April 2024,Coordination Chemistry Reviews,00108545,23470,,Journal,505,,215660,,"The critical separation and purification industry accounts for almost half of industrial energy consumption. The use of porous solids for gas separation based on the molecular properties of gas mixture components, such as chemical affinity or molecular size, has attracted much attention as high-efficiency/low-energy alternatives to traditional technologies such as distillation. “Flexible-robust” metal–organic frameworks (MOFs) and hydrogen-bonded organic frameworks (HOFs) are new classes of porous solids that have caused serious progress in the field of gas separation due to their unique properties in their structure. In this critical review, we have focused on the detailed investigation of the emergence and evolution of this category of MOFs/HOFs for specific challenging gas separation targets. A detailed account of the structural and separation properties of flexible-robust MOFs/HOFs has been provided by comparison with both robust and flexible MOFs. Flexible-robust MOFs/HOFs are benchmark materials in many challenging gas separations as demonstrated via systematic analysis of the performance of this new class of porous materials. From the point of view of industrialization, the properties of this category are compared with other benchmarks, and issues related to separation performance, stability, and energy efficiency are highlighted.",Benchmark Materials | Challenging Gas Separations | Flexible–Robust | Hydrogen-Bonded Organic Frameworks (HOFs) | Metal-Organic Framework (MOFs),1,0,,,,undefined,
4,2-s2.0-85183426715,10.1016/j.fuel.2023.130761,S0016236123033756,,Co-pyrolysis of biomass and polyethylene terephthalate (PET) as an alternative for energy production from waste valorization,ar,Article,Cupertino G.F.M.,60110590;60028426;60008088;60004923;127387421,Universidad ECOTEC;Universidade Federal do Espírito Santo;Universidade de São Paulo;NC State University;Federal University of Southern and Southeastern Pará,Samborondon;Vitoria;Sao Paulo;Raleigh;São Félix do Xingu,Ecuador;Brazil;Brazil;United States;Brazil,12,"Cupertino, Gabriela Fontes Mayrinck;Silva, Álison Moreira da;Pereira, Allana Katiussya Silva;Delatorre, Fabíola Martins;Ucella-Filho, João Gilberto Meza;Souza, Elias Costa de;Profeti, Demetrius;Profeti, Luciene Paula Roberto;Oliveira, Michel Picanço;Saloni, Daniel;Luque, Rafael;Dias Júnior, Ananias Francisco",57480266700;58654343800;57201443545;57480681500;57441870000;57222661828;9736571300;9735521700;55211730000;36716809300;26643003700;57094157500,60028426;60008088;60008088;60028426;60028426;127387421;60028426;60028426;60028426;60004923;60110590;60028426,2024-04-15,15 April 2024,Fuel,00162361,16313,,Journal,362,,130761,,"Disposal of waste plastics is an environmental problem that has gained attention over the years. Co-pyrolysis is a promising alternative for transforming this material into solid and liquid products with high added value. This study evaluated how heating rates and polyethylene terephthalate (PET) proportions influence the properties of char obtained by co-pyrolysis. The co-pyrolysis process was carried out using Eucalyptus spp biomass, in three proportions of PET (0, 15 and 25 %) and three heating rates (1, 3 and 5 °C min−1), at a final temperature of 450 °C. We investigated the physical, chemical, energetic and thermal properties of the char produced, which included its morphology via scanning electron microscopy (SEM). The average yield of co-pyrolytic char, under all conditions of co-pyrolysis, decreased by 5 % compared to the biomass-only pyrolytic material. In addition to yield differences, the percentage of ash decreased by about 7 % in char with PET. The produced material had a maximum heating value of 32,17 MJ kg−1 and maximum energy density of 4.7 Gcal m−3 (1.10 GJ m−3). These results show the synergistic effect between PET and biomass, pointing to improvements in char generated through co-pyrolysis. The addition of PET in the process, in all conditions investigated, contributed to potentiating the energy characteristics of the material. This co-pyrolysis process can be an alternative for generation and biofuels. The co-pyrolysis of biomass and polyethylene terephthalate is a promising strategy for generating energy products and ensuring the reuse of plastic materials.",Biomass | Circular economy | Plastic waste conversion | Waste plastics,0,0,,,CAPES,14/2023,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
5,2-s2.0-85183190818,10.1016/j.envres.2023.118048,S0013935123028529,38160981,Benign-by-design plant extract-mediated preparation of copper oxide nanoparticles for environmentally related applications,ar,Article,Ahmad A.,60273396;60268209;60110590;60037950;60015024;60005353;60003138,Faculty of Engineering &amp; Technology;National University of Technology;Universidad ECOTEC;Government College University Lahore;RUDN University;College of Sciences;Universidad de Córdoba,New Cairo;Islamabad;Samborondon;Lahore;Moscow;Riyadh;Cordoba,Egypt;Pakistan;Ecuador;Pakistan;Russian Federation;Saudi Arabia;Spain,8,"Ahmad, Awais;Khan, Mariam;Osman, Sameh M.;Haassan, Ahmad M.;Javed, Muhammad Hassan;Ahmad, Anees;Rauf, Abdul;Luque, Rafael",57221479477;57221926983;55327003700;58845216200;58641496200;58641272900;57189222323;26643003700,60003138;60268209;60005353;60273396;60037950;60037950;60037950;60015024-60110590,2024-04-15,15 April 2024,Environmental Research,00139351,21524,10960953,Journal,247,,118048,,"A facile, cost-competitive, scalable and novel synthetic approach is used to prepare copper oxide (CuO) nanoparticles (NPs) using Betel leaf (Piper betle) extracts as reducing, capping, and stabilizing agents. CuO-NPs were characterized using various analytical techniques, including Fourier-transform infrared (FTIR) spectroscopy, ultraviolet–visible (UV–Vis) spectroscopy, scanning electron microscopy (SEM), X-ray diffraction (XRD), high-resolution transmission electron microscopy (HRTEM), as well as photoluminescence (PL) measurements. The activity of CuO-NPs was investigated towards Congo red dye degradation, supercapacitor energy storage and antibacterial activity. A maximum of 89% photodegradation of Congo red dye (CR) was obtained. The nanoparticle modified electrode also exhibited a specific capacitance (Csp) of 179 Fg-1. Furthermore, the antibacterial potential of CuO NPs was evaluated against Bacillus subtilis and Pseudomonas aeruginosa, both strains displaying high antibacterial performance.",Antibacterial activity | Congo red | Copper oxide nanoparticles | Dye photodegradation | Piper betle | Supercapacitors,0,0,,,KSU,P18-RT-4576,"Consejería de Transformación Económica, Industria, Conocimiento y Universidades"
6,2-s2.0-85188008858,10.1016/j.inoche.2024.112295,S1387700324002788,,Nitrogen doped leather waste-derived carbon materials as electrocatalyst for oxygen evolution reaction,ar,Article,Haleem Abbasi A.,60272267;60264834;60110590;60070813;60059937;60037241;60034410;60023913;60005353;116418480,University of Poonch Rawalakot;University of Wah;Universidad ECOTEC;University of Sharjah;National University of Sciences and Technology;The Islamia University of Bahawalpur;Bahauddin Zakariya University;Barkatullah University;College of Sciences;National University of Science and Technology Polytehnica Bucharest,Rawalakot;Rawalpindi;Samborondon;Sharjah;Islamabad;Bahawalpur;Multan;Bhopal;Riyadh;Bucharest,Pakistan;Pakistan;Ecuador;United Arab Emirates;Pakistan;Pakistan;Pakistan;India;Saudi Arabia;Romania,11,"Haleem Abbasi, Amir;Khan, Musammir;Ahmad, Fawad;Imran Khan, Muhammad;Shanableh, Abdallah;Rajput, Rachna;Manzoor, Suryyia;Shahida, Shabnam;Luque, Rafael;Osman, Sameh M.;Hussain Lashari, Mushtaq",58943693500;58527660100;57202681131;57201594216;7003825668;58838003800;56970919200;23478539400;26643003700;55327003700;58942939400,60264834;60059937;60264834;60070813;60070813;60023913;60034410;60272267;60110590-116418480;60005353;60037241,2024-04-01,April 2024,Inorganic Chemistry Communications,13877003,25267,,Journal,162,,112295,,"Nitrogen doped leather waste-derived carbon materials have been employed as eletrocatalyst for oxygen evolution reaction. Low current densities and complex synthesis routes of other carbon-based materials limit their practical applicability. We present herein a simple and cost-competitive design of a metal free nitrogen-doped carbon matrix (NCM). At 10 mA cm−2 of current density, the assembled NCM showed a low over potential of 330 mV. NCM provided 73 mV dec-1 of slope value according to Tafel analysis, with NCM slope value improved as compared to previously described electrocatalysts inclusive of graphene (113 mV dec−1) and carbon nanosheets (101 mV dec−1), under similar reaction conditions. Linear sweep voltamogram, stability test and electrochemical impedance spectra confirmed the potential of NCM in OER as a heterogeneous electrocatalyst.",Biomass | Carbon matrix | Electrocatalyst | Nitrogen doping | Water oxidation,0,0,,,KSU,RSP2024R405,King Saud University
7,2-s2.0-85186758111,10.1016/j.jclepro.2024.141583,S095965262401031X,,Antiviral potential of bio-oil from Citrus sinensis waste wood as a therapeutic approach against COVID-19,ar,Article,Ucella-Filho J.G.M.,60110590;60028426;60013918;60003138,Universidad ECOTEC;Universidade Federal do Espírito Santo;Universidade Federal de Vicosa;Universidad de Córdoba,Samborondon;Vitoria;Vicosa;Cordoba,Ecuador;Brazil;Brazil;Spain,12,"Ucella-Filho, João Gilberto Meza;Ferreira, Nicolly Soares;Cupertino, Gabriela Fontes Mayrinck;Guedes, Natália Assis;de Paula, Heberth;Kitagawa, Rodrigo Rezende;Balu, Alina Mariana;Luque, Rafael;Ignacchiti, Mariana Drummond Costa;Parreira, Luciana Alves;Resende, Juliana Alves;Dias Junior, Ananias Francisco",57441870000;58298371600;57480266700;57387041300;6603162333;8872363600;22940159800;26643003700;51561865800;18434433200;55523375400;57094157500,60028426-60013918;60028426;60028426;60028426;60028426;60028426;60003138;60110590;60028426;60028426;60028426;60028426,2024-04-01,1 April 2024,Journal of Cleaner Production,09596526,19167,,Journal,447,,141583,,"The COVID-19 pandemic has had a significant impact in various areas, particularly in health, and the search for new therapeutic and preventive approaches remains crucial. In this study, we investigated the antiviral potential of bio-oil (BO) obtained from residual woody biomass of Citrus sinensis. BOs were produced through pyrolysis at different heating rates (1, 3, 5, and 7 °C min−1) and subsequently underwent a purification process. Physical-chemical analyses and identification of chemical compounds were performed using Gas Chromatography-Mass Spectrometry (GC/MS). Furthermore, the hemolytic capacity of BOs and their activity against the 3 C L protease enzyme (3CLpro) of SARS-CoV-2 were evaluated. The heating rate was found to affect the chemical properties of the BOs, resulting in variations in pH and chemical composition. A total of 23 chemical compounds were identified, with a significant presence of furans, pyrans, and phenolic compounds. Regarding hemolytic capacity, concentrations equal to or below 1% of BOs showed no hemolytic effect. Concerning antiviral activity, the BO obtained at a heating rate of 5 °C min−1 demonstrated greater efficacy in inhibiting SARS-CoV-2 compared to the BO obtained at a heating rate of 1 °C min−1. This antiviral activity may be associated with the synergistic action of the chemical compounds present in the bio-oils, especially phenolic compounds. These results indicate that the chemical and antiviral properties of BOs can be influenced by the heating rate used during production. In addition, these are unprecedented results and will serve to guide future research aimed at the use of the pyroligneous liquid for the development of a bioactive product.",Bioactive products | Natural products | Pyrolignous liquid | Pyrolysis | Waste management,0,0,,,CAPES,18/2021,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
8,2-s2.0-85186635422,10.1016/j.scp.2024.101490,S2352554124000652,,A continuous flow approach for the desulfurative bromination of sulfides,ar,Article,Pineda A.,60027800;60015024;60003138;60000050;130985740,Universidad de Alcalá;RUDN University;Universidad de Córdoba;Royal College of Surgeons in Ireland;KelAda Pharmachem Ltd.,Alcala de Henares;Moscow;Cordoba;Dublin;Dublin,Spain;Russian Federation;Spain;Ireland;Ireland,10,"Pineda, Antonio;Carr, James;Rodríguez-Padrón, Daily;Ronco, Noelia Lázaro;Fox, Karen;Gonzalez-Arellano, Camino;Gillick-Healy, Malachi W.;Kelly, Brian G.;Adamo, Mauro F.A.;Luque, Rafael",55412652100;58920094500;57194760010;58919655000;57219319170;6507019945;57193320682;57225792566;57203178199;26643003700,60003138;130985740;60003138;60003138;130985740;60027800;130985740;130985740;130985740-60000050;60003138-60015024,2024-04-01,April 2024,Sustainable Chemistry and Pharmacy,,21100444313,23525541,Journal,38,,101490,,"The preparation of alkyl bromides is a pivotal transformation in organic chemistry. The wide range of applications that bromides have as building blocks render this class of compounds a privileged motif widely used in the manufacture of active pharmaceutical ingredients. Traditionally prepared from the deoxygenation of alcohols, alkyl bromides have been recently obtained from sulfides in high yields, a transformation we have named desulfurative bromination. In order to improve the efficiency of this transformation, we report herein the investigation and optimisation of a continuous flow strategy. The influence of the flow rate; role of the brominating agent; and substrate scope have been studied delivering an in-flow protocol to access multigram quantities of these valuable intermediates.",Bromination | Continuous flow | Nucleophilic substitution | Synthetic methods,0,0,,,MSCA,823939,H2020 Marie Skłodowska-Curie Actions
9,2-s2.0-85186506072,10.1016/j.scp.2024.101467,S2352554124000421,,Selective catalytic conversion of gamma-valerolactone to isopropyl valerate using MOF-derived Pd-ZrO<inf>2</inf>@C materials,ar,Article,Ronda-Leal M.,60110590;116418480;109129611,Universidad ECOTEC;National University of Science and Technology Polytehnica Bucharest;Departamento de Quimica Organica,Samborondon;Bucharest;Cordoba,Ecuador;Romania;Spain,5,"Ronda-Leal, Marina;Lázaro, Noelia;Pineda, Antonio;Romero, Antonio A.;Luque, Rafael",57561098400;57207449456;55412652100;58915830000;26643003700,109129611;109129611;109129611;109129611;116418480-60110590,2024-04-01,April 2024,Sustainable Chemistry and Pharmacy,,21100444313,23525541,Journal,38,,101467,,"Pd-containing zirconia nanomaterials have been prepared from MOFs (Metal-Organic Frameworks) as sacrificial template. MOFs (NH2-UiO-66(Zr)) was prepared by a solvothermal method and subsequently modified by a simple impregnation with a Pd salt. The resulting material was pyrolyzed at different temperatures under inert atmosphere in order to obtain ZrO2@C with different Pd contents. Materials have been fully characterized using several techniques including X-ray diffraction (XRD), N2 porosimetry and X-ray photoelectron spectroscopy (XPS), which pointed to the formation of ZrO2@C as well as Pd-ZrO2@C materials A notable feature across all synthesized materials was the strength of Lewis acid sites, imparting intrinsic activity to the catalyst. This, coupled with Pd as metal sites, resulted in a bifunctional catalyst. Synthesized materials were employed in the continuous flow hydrogenation of GVL (gamma-valerolactone) to isopropyl valerate, using 2-propanol as a solvent, reagent and H2 donor. Reaction mechanism required the presence of metal sites (hydrogenation) and acid sites (ring opening), which makes the catalyst Pd-ZrO2@C highly promising for this reaction. These catalysts exhibited remarkable selectivity, exceeding 98% towards isopropyl valerate, while maintaining high conversion rates and displaying robust catalyst stability under flow conditions for up to 24 h.",Flow conditions | GVL hydrogenation | MOFs | Sacrificial template | Zirconium oxides,0,0,,,FPI,REF PRE2020-092844,Family Process Institute
