Category,Group,Edition,# of journals,Citable Items,Total Citations,Median impact factor
ACOUSTICS,Physics,SCIE,31,"5,318","260,308",2.3
ACOUSTICS,Physics,ESCI,9,415,"2,675",0.7
AGRICULTURAL ECONOMICS & POLICY,Agricultural Sciences;Economics & Business,SCIE,22,"1,170","57,764",3.3
AGRICULTURAL ECONOMICS & POLICY,Agricultural Sciences;Economics & Business,ESCI,16,796,"7,349",1.2
AGRICULTURAL ENGINEERING,Agricultural Sciences;Engineering,SCIE,15,"4,338","306,990",2.2
AGRICULTURAL ENGINEERING,Agricultural Sciences;Engineering,ESCI,3,273,"1,338",0.7
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Agricultural Sciences;Biology & Biochemistry;Plant & Animal Science,SCIE,62,"11,011","341,643",1.8
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Agricultural Sciences;Biology & Biochemistry;Plant & Animal Science,ESCI,17,"1,337","11,489",0.7
"AGRICULTURE, MULTIDISCIPLINARY",Agricultural Sciences;Biology & Biochemistry;Multidisciplinary;Plant & Animal Science,SCIE,58,"7,215","373,009",1.4
"AGRICULTURE, MULTIDISCIPLINARY",Agricultural Sciences;Biology & Biochemistry;Multidisciplinary;Plant & Animal Science,ESCI,27,"1,670","8,481",0.6
AGRONOMY,Agricultural Sciences;Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,SCIE,89,"15,776","550,783",1.9
AGRONOMY,Agricultural Sciences;Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,ESCI,37,"1,398","14,500",0.6
ALLERGY,Clinical Medicine,SCIE,28,"2,904","184,887",4.4
ALLERGY,Clinical Medicine,ESCI,10,262,"2,340",0.7
ANATOMY & MORPHOLOGY,Biology & Biochemistry;Plant & Animal Science,SCIE,20,"2,497","83,427",1.8
ANATOMY & MORPHOLOGY,Biology & Biochemistry;Plant & Animal Science,ESCI,3,132,"1,093",0.3
ANDROLOGY,Biology & Biochemistry;Clinical Medicine,SCIE,8,871,"23,729",2.4
ANESTHESIOLOGY,Clinical Medicine,SCIE,35,"4,342","266,247",2.9
ANESTHESIOLOGY,Clinical Medicine,ESCI,30,"1,770","17,476",0.7
ANTHROPOLOGY,"History & Archaeology;Social Sciences, General",SSCI,93,"3,596","168,077",1.2
ANTHROPOLOGY,"History & Archaeology;Social Sciences, General",ESCI,44,770,"8,423",0.4
ARCHAEOLOGY,"History & Archaeology;Social Sciences, General",AHCI,108,"3,346","87,267",0.7
ARCHAEOLOGY,"History & Archaeology;Social Sciences, General",ESCI,54,878,"5,760",0.3
ARCHITECTURE,Visual & Performing Arts,AHCI,53,"1,529","17,189",0.2
ARCHITECTURE,Visual & Performing Arts,ESCI,45,853,"3,240",0.2
AREA STUDIES,"Arts & Humanities, Interdisciplinary;Economics & Business;History & Archaeology;Social Sciences, General",ESCI,89,"1,719","11,077",0.3
AREA STUDIES,"Arts & Humanities, Interdisciplinary;Economics & Business;History & Archaeology;Social Sciences, General",SSCI,84,"3,059","72,362",1
ART,Visual & Performing Arts,AHCI,78,"1,695","23,077",0.2
ART,Visual & Performing Arts,ESCI,63,898,"2,554",0.1
ASIAN STUDIES,"Arts & Humanities, Interdisciplinary;History & Archaeology",AHCI,70,"1,345","17,396",0.3
ASIAN STUDIES,"Arts & Humanities, Interdisciplinary;History & Archaeology",ESCI,33,508,"2,234",0.2
ASTRONOMY & ASTROPHYSICS,Physics,SCIE,69,"22,623","1,417,607",2.5
