,Category,Group,# of journals,Citable Items,Total Citations
0,ACOUSTICS,Physics,40,5733,262983
1,AGRICULTURAL ECONOMICS & POLICY,Agricultural Sciences;Economics & Business,38,1966,65113
2,AGRICULTURAL ENGINEERING,Agricultural Sciences;Engineering,18,4611,308328
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Agricultural Sciences;Biology & Biochemistry;Plant & Animal Science,79,12348,353132
4,"AGRICULTURE, MULTIDISCIPLINARY",Agricultural Sciences;Biology & Biochemistry;Multidisciplinary;Plant & Animal Science,85,8885,381490
5,AGRONOMY,Agricultural Sciences;Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,126,17174,565283
6,ALLERGY,Clinical Medicine,38,3166,187227
7,ANATOMY & MORPHOLOGY,Biology & Biochemistry;Plant & Animal Science,23,2629,84520
8,ANDROLOGY,Biology & Biochemistry;Clinical Medicine,8,871,23729
9,ANESTHESIOLOGY,Clinical Medicine,65,6112,283723
10,ANTHROPOLOGY,"History & Archaeology;Social Sciences, General",137,4366,176500
11,ARCHAEOLOGY,"History & Archaeology;Social Sciences, General",162,4224,93027
12,ARCHITECTURE,Visual & Performing Arts,98,2382,20429
13,AREA STUDIES,"Arts & Humanities, Interdisciplinary;Economics & Business;History & Archaeology;Social Sciences, General",173,4778,83439
14,ART,Visual & Performing Arts,141,2593,25631
15,ASIAN STUDIES,"Arts & Humanities, Interdisciplinary;History & Archaeology",103,1853,19630
16,ASTRONOMY & ASTROPHYSICS,Physics,84,23338,1423282
17,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,Clinical Medicine,35,3354,149916
18,AUTOMATION & CONTROL SYSTEMS,Computer Science;Engineering,83,18623,739505
19,BEHAVIORAL SCIENCES,Clinical Medicine;Psychiatry/Psychology,55,6403,456217
20,BIOCHEMICAL RESEARCH METHODS,Biology & Biochemistry;Chemistry,83,13975,1086096
21,BIOCHEMISTRY & MOLECULAR BIOLOGY,Biology & Biochemistry;Chemistry,315,85289,5279963
22,BIODIVERSITY CONSERVATION,Environment/Ecology;Plant & Animal Science,74,7007,335104
23,BIOLOGY,Biology & Biochemistry,112,19498,868734
24,BIOPHYSICS,Biology & Biochemistry;Physics,74,10793,790617
25,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Biology & Biochemistry,170,26687,1986057
26,BUSINESS,Economics & Business,306,17077,1243732
27,"BUSINESS, FINANCE",Economics & Business,230,11644,546770
28,CARDIAC & CARDIOVASCULAR SYSTEMS,Clinical Medicine,215,29682,1474638
29,CELL & TISSUE ENGINEERING,Biology & Biochemistry;Materials Science,31,3325,188300
30,CELL BIOLOGY,Biology & Biochemistry,203,32340,3184752
31,"CHEMISTRY, ANALYTICAL",Chemistry,99,38067,1393832
32,"CHEMISTRY, APPLIED",Chemistry,77,21514,1156598
33,"CHEMISTRY, INORGANIC & NUCLEAR",Chemistry;Physics,44,13882,502556
34,"CHEMISTRY, MEDICINAL",Biology & Biochemistry;Chemistry,70,19135,821809
35,"CHEMISTRY, MULTIDISCIPLINARY",Multidisciplinary,230,120333,5851409
36,"CHEMISTRY, ORGANIC",Chemistry,59,17236,859618
37,"CHEMISTRY, PHYSICAL",Chemistry;Physics,172,95114,5490770
38,CLASSICS,"Arts & Humanities, Interdisciplinary;History & Archaeology;Literature & Language",60,849,10744
39,CLINICAL NEUROLOGY,Clinical Medicine,270,37083,1990015
40,COMMUNICATION,"Economics & Business;Literature & Language;Social Sciences, General;Visual & Performing Arts",219,8261,266727
41,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science;Mathematics,193,32901,1291925
42,"COMPUTER SCIENCE, CYBERNETICS",Computer Science,32,4268,137222
43,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",Computer Science,63,9367,291797
44,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Computer Science;Multidisciplinary,251,46061,1175995
45,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Computer Science;Multidisciplinary,163,24930,1025002
46,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Computer Science,132,14630,424628
47,"COMPUTER SCIENCE, THEORY & METHODS",Computer Science;Mathematics,145,18936,533227
48,CONSTRUCTION & BUILDING TECHNOLOGY,Engineering;Materials Science;Visual & Performing Arts,89,20792,809857
49,CRIMINOLOGY & PENOLOGY,"Psychiatry/Psychology;Social Sciences, General",114,4657,139363
50,CRITICAL CARE MEDICINE,Clinical Medicine,53,5704,444961
51,CRYSTALLOGRAPHY,Geosciences;Materials Science;Physics,33,7238,257219
52,CULTURAL STUDIES,"Arts & Humanities, Interdisciplinary;Literature & Language;Multidisciplinary",102,3491,87637
53,DANCE,Visual & Performing Arts,10,215,954
54,DEMOGRAPHY,"Economics & Business;Multidisciplinary;Social Sciences, General",51,1810,69643
55,"DENTISTRY, ORAL SURGERY & MEDICINE",Clinical Medicine,158,14072,561709
56,DERMATOLOGY,Clinical Medicine,93,9245,385355
57,DEVELOPMENT STUDIES,Economics & Business,62,3126,152227
58,DEVELOPMENTAL BIOLOGY,Biology & Biochemistry,40,5364,349882
59,ECOLOGY,Economics & Business;Environment/Ecology;Plant & Animal Science,192,22918,1560189
60,ECONOMICS,"Economics & Business;Social Sciences, General",587,31650,1686668
61,EDUCATION & EDUCATIONAL RESEARCH,"Multidisciplinary;Social Sciences, General",760,34296,871018
62,"EDUCATION, SCIENTIFIC DISCIPLINES","Multidisciplinary;Social Sciences, General",85,7716,213670
63,"EDUCATION, SPECIAL","Social Sciences, General",62,2077,78959
64,ELECTROCHEMISTRY,Chemistry;Physics,42,17022,945970
65,EMERGENCY MEDICINE,Clinical Medicine,54,5825,149967
66,ENDOCRINOLOGY & METABOLISM,Clinical Medicine,184,23106,1457499
67,ENERGY & FUELS,Chemistry;Physics,157,68634,3135859
68,"ENGINEERING, AEROSPACE",Engineering;Physics,52,7342,189262
69,"ENGINEERING, BIOMEDICAL",Clinical Medicine;Engineering,117,18116,824184
70,"ENGINEERING, CHEMICAL",Chemistry;Engineering,161,56550,2554378
71,"ENGINEERING, CIVIL",Engineering,180,39751,1321951
72,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering;Materials Science;Physics,352,116273,3451825
73,"ENGINEERING, ENVIRONMENTAL",Engineering;Environment/Ecology,75,32304,1952006
74,"ENGINEERING, GEOLOGICAL",Engineering;Geosciences,63,8586,362470
75,"ENGINEERING, INDUSTRIAL",Engineering,68,8612,448021
76,"ENGINEERING, MANUFACTURING",Engineering;Materials Science,66,10991,471727
77,"ENGINEERING, MARINE",Engineering;Physics,25,5832,78996
78,"ENGINEERING, MECHANICAL",Engineering;Physics,179,32721,1159064
79,"ENGINEERING, MULTIDISCIPLINARY",Engineering;Multidisciplinary,179,37213,737935
80,"ENGINEERING, OCEAN",Engineering;Physics,19,5865,108262
81,"ENGINEERING, PETROLEUM",Chemistry;Engineering,23,3114,85543
82,ENTOMOLOGY,Biology & Biochemistry,108,8266,284774
83,ENVIRONMENTAL SCIENCES,Biology & Biochemistry;Multidisciplinary,334,114026,4766832
84,ENVIRONMENTAL STUDIES,"Economics & Business;Multidisciplinary;Social Sciences, General",179,32654,984841
85,ERGONOMICS,Multidisciplinary,22,2214,102503
86,ETHICS,"Philosophy & Religion;Social Sciences, General",78,2979,126807
87,ETHNIC STUDIES,"Economics & Business;Social Sciences, General",40,1661,50546
88,EVOLUTIONARY BIOLOGY,Biology & Biochemistry,55,6133,552110
89,FAMILY STUDIES,Multidisciplinary,66,4799,175139
90,"FILM, RADIO, TELEVISION",Visual & Performing Arts,67,1129,11084
91,FISHERIES,Biology & Biochemistry;Engineering,59,7058,299708
92,FOLKLORE,"Arts & Humanities, Interdisciplinary;Literature & Language",20,354,2391
93,FOOD SCIENCE & TECHNOLOGY,Biology & Biochemistry;Chemistry;Engineering,170,40545,1746455
94,FORESTRY,Economics & Business;Engineering;Environment/Ecology,89,7962,277137
95,GASTROENTEROLOGY & HEPATOLOGY,Clinical Medicine,139,15004,988219
96,GENETICS & HEREDITY,Biology & Biochemistry;Clinical Medicine,190,24848,1584889
97,GEOCHEMISTRY & GEOPHYSICS,Chemistry;Geosciences;Physics,100,16239,901388
98,GEOGRAPHY,"Economics & Business;Environment/Ecology;Social Sciences, General",169,7867,330807
99,"GEOGRAPHY, PHYSICAL",Geosciences;Multidisciplinary,64,6518,395295
100,GEOLOGY,Chemistry;Geosciences;Physics,61,4069,172942
101,"GEOSCIENCES, MULTIDISCIPLINARY",Geosciences;Multidisciplinary,249,39945,1747436
102,GERIATRICS & GERONTOLOGY,Clinical Medicine,70,10271,455890
103,GERONTOLOGY,"Psychiatry/Psychology;Social Sciences, General",48,5203,234707
104,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environment/Ecology;Multidisciplinary,87,54894,1441880
105,HEALTH CARE SCIENCES & SERVICES,"Clinical Medicine;Economics & Business;Social Sciences, General",168,24282,765398
106,HEALTH POLICY & SERVICES,"Clinical Medicine;Economics & Business;Social Sciences, General",117,12004,394890
107,HEMATOLOGY,Clinical Medicine,97,10683,819872
108,HISTORY,History & Archaeology,598,15130,158219
109,HISTORY & PHILOSOPHY OF SCIENCE,"Arts & Humanities, Interdisciplinary;History & Archaeology;Multidisciplinary;Philosophy & Religion",199,7519,170766
110,HISTORY OF SOCIAL SCIENCES,"History & Archaeology;Multidisciplinary;Social Sciences, General",38,1215,23619
111,HORTICULTURE,Agricultural Sciences;Plant & Animal Science,38,4809,179618
112,"HOSPITALITY, LEISURE, SPORT & TOURISM","Social Sciences, General",136,7344,311754
113,"HUMANITIES, MULTIDISCIPLINARY","Arts & Humanities, Interdisciplinary",409,10611,65642
114,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,Engineering;Multidisciplinary,32,15101,483224
115,IMMUNOLOGY,Clinical Medicine,177,35727,2025137
116,INDUSTRIAL RELATIONS & LABOR,"Economics & Business;Social Sciences, General",52,1646,66252
117,INFECTIOUS DISEASES,Clinical Medicine,129,19926,901274
118,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science;Engineering;Multidisciplinary,163,7442,320328
119,INSTRUMENTS & INSTRUMENTATION,Engineering,76,35514,909311
120,INTEGRATIVE & COMPLEMENTARY MEDICINE,Clinical Medicine,43,4684,162533
121,INTERNATIONAL RELATIONS,"Social Sciences, General",160,6244,173025
122,LANGUAGE & LINGUISTICS,"Literature & Language;Social Sciences, General",387,9819,149932
123,LAW,"Multidisciplinary;Social Sciences, General",425,11128,185573
124,LIMNOLOGY,Environment/Ecology;Multidisciplinary;Plant & Animal Science,22,1999,145980
125,LINGUISTICS,"Literature & Language;Multidisciplinary;Social Sciences, General",290,9293,283699
126,LITERARY REVIEWS,Literature & Language,52,1200,5322
127,LITERARY THEORY & CRITICISM,Literature & Language,55,1205,6258
128,LITERATURE,Literature & Language,208,4603,31035
129,"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",Literature & Language,6,129,1046
130,"LITERATURE, AMERICAN",Literature & Language,29,394,3234
131,"LITERATURE, BRITISH ISLES",Literature & Language,22,343,2434
132,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",Literature & Language,28,477,1689
133,"LITERATURE, ROMANCE",Literature & Language,110,2445,7665
134,"LITERATURE, SLAVIC",Literature & Language,13,466,1289
135,LOGIC,Computer Science;Mathematics;Multidisciplinary;Philosophy & Religion,25,1083,14382
136,MANAGEMENT,Economics & Business,402,22178,1490867
